id,car_2010,truc_2010,car_2011,truc_2011,car_2012,truc_2012,car_2013,truc_2013,car_2014,truc_2014,car_2015,truc_2015,car_2016,truc_2016,car_2017,truc_2017,car_2018,truc_2018,car_2019,truc_2019,car_2020,truc_2020,car_2021,truc_2021,car_2022,truc_2022,car_2023,truc_2023,datum_exportu,ObjectId,GlobalID,traffic_volume,length_km,accident_count,accident_severity,accidents_per_km,severity_per_km,danger_index
142,17,7,17,7,18,10,19,10,19,10,19,10,19,10,19,10,19,10,19,10,18,10,18,10,19,9,19,9,"Wed, 26 Feb 2025 00:00:00 GMT",472,07a261ea-b602-47b7-9050-c28aa6fb9134,28.0,0.5406044136756727,198.0,197.0233208955224,366.2567211646686,364.4500783038807,35660.47732914684
85,20,5,20,5,20,5,19,5,18,5,17,5,16,5,17,6,17,6,17,6,16,6,16,10,16,12,17,9,"Wed, 26 Feb 2025 00:00:00 GMT",282,e5fa0112-3dca-4ff4-84d2-43f9e4d334ec,26.0,0.5510170076084704,192.0,186.40477611940298,348.44659483982235,338.2922369827365,35647.232558770964
519,22,12,22,12,22,12,20,11,20,15,19,15,20,15,22,15,22,15,22,15,21,15,21,15,21,15,22,15,"Wed, 26 Feb 2025 00:00:00 GMT",393,e1a53a95-f27a-493b-8842-8a1526380351,37.0,0.556479174778036,296.0,267.19011194029855,531.9156824117742,480.1439551567644,35553.05110379596
542,2,6,2,6,2,6,2,6,2,6,3,6,3,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,"Wed, 26 Feb 2025 00:00:00 GMT",371,847a5796-b078-4a95-b8fc-62ee9ea6b2e3,8.0,0.3510670869816051,79.0,36.241604477611936,225.02821520303718,103.23270343913183,35353.66556134652
102,10,8,9,8,9,8,9,8,9,8,9,8,9,7,9,6,9,6,9,6,9,6,9,6,9,6,9,6,"Wed, 26 Feb 2025 00:00:00 GMT",46,6d608c5e-e67a-4841-b9ab-4358d362c4fa,15.0,0.9210521314699992,194.0,177.85302238805968,210.62868579477254,193.09767201147048,35268.98118930968
159,13,7,14,8,14,8,14,8,14,8,14,8,15,8,15,8,16,12,16,12,16,12,16,12,15,11,15,11,"Wed, 26 Feb 2025 00:00:00 GMT",489,f1a6b7bd-7f6b-4c07-a847-d0c28a57c3d7,26.0,0.8239926608904365,287.0,274.9705223880597,348.3040731089247,333.7050624831009,35163.8632753531
104,19,5,18,5,17,5,16,6,17,6,17,6,17,6,18,8,18,7,18,7,17,7,17,7,16,11,16,11,"Wed, 26 Feb 2025 00:00:00 GMT",481,6355087f-30b4-45ee-8083-d4826d86f72e,27.0,0.23795381045403127,104.0,82.23171641791045,437.059611701789,345.57848122291887,35066.309611660974
400,10,9,10,10,9,10,9,10,10,9,9,9,9,9,10,9,10,9,10,9,10,9,10,9,10,13,10,13,"Wed, 26 Feb 2025 00:00:00 GMT",242,98c2eb07-6a41-4964-9826-204c1312f63c,23.0,0.43515345610713246,152.0,128.0516791044776,349.30206313833895,294.26786644422737,35052.753596691764
426,42,11,42,11,41,11,39,10,39,11,39,13,39,13,40,14,41,13,41,13,41,10,40,15,40,17,40,17,"Wed, 26 Feb 2025 00:00:00 GMT",339,758164e4-cac3-465b-9a59-8ae5609a1c46,57.0,0.5272405909040723,358.0,381.453973880597,679.00690154779,723.4912873959659,34774.87562585752
502,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,7,"Wed, 26 Feb 2025 00:00:00 GMT",352,d9f3d4fb-211c-40fc-8e96-52cdbf7b3a07,10.0,0.8413253570687714,108.0,106.68955223880596,128.3688873663318,126.8112880972931,34742.81865679263
340,20,10,21,10,21,10,20,10,21,10,18,10,18,10,18,10,17,10,17,10,16,10,16,10,16,10,16,10,"Wed, 26 Feb 2025 00:00:00 GMT",223,c7139ca1-4629-4a95-9d58-b08b55aa3376,26.0,0.6025537534180949,240.0,198.15287313432836,398.3047132949661,328.85509717642685,34652.802652942766
147,40,9,41,10,42,11,42,11,43,11,46,10,47,10,47,10,49,10,50,10,49,10,50,10,50,10,50,10,"Wed, 26 Feb 2025 00:00:00 GMT",37,7eed2477-c1fc-4fc9-96fc-33133d88357f,60.0,0.9996436959363453,356.0,748.9481343283583,356.12688945789057,749.2150827068781,34210.73437017708
456,21,6,21,6,20,6,20,6,20,6,20,6,20,6,20,6,20,6,20,6,20,6,20,6,20,8,20,8,"Wed, 26 Feb 2025 00:00:00 GMT",303,4df332c8-11c1-4e2f-830b-f7ac9002c0a9,28.0,0.1883292623332265,71.0,65.62593283582089,376.9992996328624,348.46381291348933,34096.26349447058
162,14,7,14,7,14,7,14,7,14,7,14,7,14,7,14,7,15,7,15,7,15,7,15,7,15,7,15,7,"Wed, 26 Feb 2025 00:00:00 GMT",519,50b6418d-5638-4229-8770-c41f64ef8386,22.0,0.5855886619621619,153.0,158.71141791044775,261.27555046461293,271.02884365732984,33752.035324698605
60,17,5,17,5,16,5,16,5,16,5,15,6,15,5,15,6,15,6,16,6,15,7,17,9,17,9,17,9,"Wed, 26 Feb 2025 00:00:00 GMT",85,8d651c9a-3c49-417d-bf55-ea886e8b0d3e,26.0,0.4602532506867384,318.0,146.37695895522387,690.9239631127341,318.0356873890984,33512.71732234967
557,14,15,14,15,14,15,14,15,15,19,15,19,14,19,15,18,15,18,15,18,14,18,16,16,16,17,15,15,"Wed, 26 Feb 2025 00:00:00 GMT",401,3ccba4d7-8aa7-4368-bb20-636f1d014f6c,30.0,0.30368634629850927,101.0,111.10783582089553,332.5799833645527,365.86378404935533,33412.21772140232
382,12,6,12,6,11,6,10,6,10,6,11,5,11,5,14,7,14,7,14,7,14,7,14,7,14,7,14,7,"Wed, 26 Feb 2025 00:00:00 GMT",253,267e9f55-c1da-4726-9324-858e7761645c,21.0,0.31812486905900716,51.0,81.09608208955224,160.31440783254294,254.91902701423254,33257.53777093706
139,11,8,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,12,10,12,27,12,27,10,27,11,29,12,"Wed, 26 Feb 2025 00:00:00 GMT",436,f5932941-9e01-4b75-8c46-ed8599f8100f,41.0,0.34575854601288825,238.0,171.88722014925372,688.341626677041,497.13079295181495,33219.56518221283
105,5,5,5,5,4,5,4,8,4,10,4,10,4,9,5,10,4,6,4,6,4,6,4,6,4,11,4,11,"Wed, 26 Feb 2025 00:00:00 GMT",483,3100aded-ecf3-4582-aab4-d0fa48b103cd,15.0,0.47035914618234476,140.0,85.47018656716418,297.6448978111845,181.7126067620461,33189.51721681208
322,8,6,9,6,9,6,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,10,5,10,"Wed, 26 Feb 2025 00:00:00 GMT",220,65b4b9a1-4d3b-48ed-b2bf-10f1433d1427,15.0,0.9296809772622753,199.0,168.27947761194028,214.05192196791552,181.00776688740015,33060.779340164416
254,19,6,19,6,17,6,12,9,12,8,13,8,13,8,13,8,13,8,13,8,13,7,13,7,13,7,12,10,"Wed, 26 Feb 2025 00:00:00 GMT",17,1f8a61a9-92e6-4def-9799-80d8b2c910e6,22.0,0.4843376625414196,107.0,128.16250000000002,220.92025517600456,264.6139458317261,32953.16884579403
117,51,9,51,9,51,9,51,9,51,9,52,9,51,10,50,12,50,12,50,12,48,11,46,11,44,11,44,11,"Wed, 26 Feb 2025 00:00:00 GMT",79,d293c011-2fd2-4afa-8793-c2a0b03f84a3,55.0,0.27237752370003365,279.0,179.96473880597017,1024.3135931702632,660.7180224024775,32912.47932266389
294,4,6,4,6,4,6,4,6,4,6,4,6,4,6,5,11,5,11,5,11,5,10,5,10,5,10,5,10,"Wed, 26 Feb 2025 00:00:00 GMT",561,eda71543-c3a3-4f7b-96f3-70d0508395de,15.0,0.10925333497562828,17.0,19.680037313432834,155.60165741203488,180.1321425824023,32900.84796025613
196,8,9,8,9,8,9,8,9,7,9,7,9,8,8,8,8,9,9,9,9,9,9,10,9,9,9,12,10,"Wed, 26 Feb 2025 00:00:00 GMT",502,4f1bdfbf-59e0-412f-8343-eb4534bae2f6,22.0,0.5639554836356345,91.0,147.8849067164179,161.3602538508059,262.22797899410926,32656.03723463378
477,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,5,7,5,7,5,7,5,7,5,7,"Wed, 26 Feb 2025 00:00:00 GMT",331,efe6cd4d-6258-4dea-8c41-ed6ca12afdb4,12.0,0.734084399002192,81.0,103.96679104477612,110.34153580991459,141.62784440875396,32335.124294236062
383,10,6,9,6,8,6,9,6,10,6,10,6,1,6,11,6,11,6,11,6,11,6,11,6,11,11,11,11,"Wed, 26 Feb 2025 00:00:00 GMT",252,8fd7aa4d-398d-470b-a953-9c9638069e12,22.0,0.23784569046604503,54.0,61.703731343283586,227.03795849397181,259.42757769702973,32307.29485641715
158,12,6,12,6,11,6,10,6,10,6,11,6,11,6,11,6,11,6,11,6,11,6,11,6,10,8,11,9,"Wed, 26 Feb 2025 00:00:00 GMT",520,ce1ce655-a0ce-4398-a062-093c1de14acb,20.0,0.6064235815434345,115.0,142.735447761194,189.63642493471082,235.37252195554785,32242.811226787377
528,13,10,12,11,12,11,12,11,12,11,13,10,12,10,12,10,12,10,12,10,11,10,11,10,12,10,12,10,"Wed, 26 Feb 2025 00:00:00 GMT",367,d70c5bd6-4e07-4d56-9191-219bcf70123c,22.0,0.6948212028717422,175.0,179.70671641791046,251.86335603564396,258.6373525666325,32208.8857492693
144,34,8,33,10,33,10,34,10,34,10,35,10,36,10,38,11,38,11,39,10,37,10,37,10,40,11,40,11,"Wed, 26 Feb 2025 00:00:00 GMT",471,28417e77-4ae3-4d25-ba1b-12de4fa73264,51.0,0.5834033211338567,194.0,349.00634328358205,332.53153174198064,598.2248140193662,32136.70770987732
168,20,8,20,8,20,8,21,8,21,8,21,8,21,8,22,8,22,8,22,8,21,8,21,8,21,8,21,10,"Wed, 26 Feb 2025 00:00:00 GMT",504,e776aab9-dc9f-4f95-a02e-111083bffb6c,31.0,0.34153386256406204,111.0,123.64281716417912,325.0043763352442,362.02213225924925,31994.885749823177
413,19,6,19,6,19,8,20,8,20,8,20,8,20,8,20,8,20,8,20,8,21,10,21,10,21,10,21,10,"Wed, 26 Feb 2025 00:00:00 GMT",380,1dd5de06-58c9-40ff-a0da-ed3b17ba0c68,31.0,0.2683277652864812,114.0,96.15298507462687,424.85353641389827,358.34154162901757,31669.601558021877
288,14,6,13,7,13,7,12,7,13,7,13,7,13,7,13,7,13,7,13,7,13,7,14,7,14,7,14,7,"Wed, 26 Feb 2025 00:00:00 GMT",567,ed3922c8-1dda-417d-af70-9a166bd073c6,21.0,1.3042854613651882,324.0,316.4528917910448,248.41187730550263,242.62548434743368,31653.683541739556
539,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Wed, 26 Feb 2025 00:00:00 GMT",447,d08d0b52-b179-45c1-861e-a7f589e9c833,14.0,0.36947630775136786,101.0,59.692182835820894,273.3598823012112,161.55889182477603,31616.22149212838
392,45,9,43,11,43,11,47,11,47,10,49,9,49,9,50,10,52,11,52,11,52,12,52,12,52,12,52,12,"Wed, 26 Feb 2025 00:00:00 GMT",294,cae68a5a-e210-4346-8602-5e4dd5df9b98,64.0,0.19158386982884862,189.0,140.77444029850744,986.5131139111194,734.7927590369077,31455.16947931968
428,7,12,6,12,6,12,6,12,6,12,6,12,7,11,7,12,7,10,7,10,7,10,7,12,7,12,9,10,"Wed, 26 Feb 2025 00:00:00 GMT",338,852bd709-f493-437f-a9a1-8890bbf86047,19.0,0.7409038154285293,174.0,160.35093283582088,234.84829795263047,216.4261129402822,31207.80287531106
3,7,5,7,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Wed, 26 Feb 2025 00:00:00 GMT",166,40481e5d-f10f-47b3-a772-dd786c805e66,10.0,0.44328852067802416,97.0,49.50764925373135,218.81911097457555,111.68267831074849,30597.99405773931
272,12,7,12,7,12,7,11,7,12,7,12,7,13,7,14,7,14,7,14,7,14,7,14,7,14,7,14,7,"Wed, 26 Feb 2025 00:00:00 GMT",575,005342b9-38c2-4299-aba9-74ad2560bf3b,21.0,0.6367284171157659,183.0,148.65419776119404,287.4066793326865,233.46562484923095,30458.659471523933
326,8,6,8,6,8,6,8,6,8,6,5,7,5,7,5,7,5,7,5,7,5,7,5,6,5,6,5,6,"Wed, 26 Feb 2025 00:00:00 GMT",183,abf44e2f-6ee2-4bf6-bac6-28034760b1c0,11.0,0.4502873900877963,95.0,54.8615671641791,210.97637218194598,121.83678328962817,30345.400570268535
344,18,13,18,13,19,13,19,13,20,9,19,9,21,9,24,10,24,10,24,10,24,10,25,10,25,10,26,11,"Wed, 26 Feb 2025 00:00:00 GMT",47,ad2e4b81-2271-4fee-b0b7-20ab74561730,37.0,0.4214465671045619,143.0,172.68694029850747,339.3075449218723,409.7481241451503,30340.47568642357
99,28,12,28,12,28,11,28,11,28,11,28,11,27,11,28,12,28,12,28,12,27,12,26,12,26,12,26,12,"Wed, 26 Feb 2025 00:00:00 GMT",81,9d4ae5bb-8d33-4fab-8565-06af83ac2003,38.0,0.6192615252356202,341.0,259.1242537313433,550.6558797920707,418.44074461553254,30168.76313017538
455,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,"Wed, 26 Feb 2025 00:00:00 GMT",304,81f2159f-d878-407e-901f-e440ee08c143,6.0,1.2118961822488263,231.0,79.61772388059701,190.61038675057986,65.69681879256049,29998.54739386324
549,19,10,19,10,19,10,19,10,18,10,20,12,20,9,20,9,20,9,20,9,19,9,19,9,19,9,23,16,"Wed, 26 Feb 2025 00:00:00 GMT",452,911a1bd9-1ddf-438d-b35e-43a99d14b541,39.0,0.2391649169661157,129.0,100.84496268656716,539.3767682836041,421.65449667876925,29620.96920820297
372,2,13,2,13,2,13,2,13,2,13,2,13,2,13,2,12,2,12,2,12,2,12,2,12,2,12,2,12,"Wed, 26 Feb 2025 00:00:00 GMT",1,89a47969-311f-4292-b3cf-b470d4664788,14.0,0.5635473706924334,56.0,83.05671641791045,99.3705283926576,147.38196066083717,28841.87097080962
346,8,9,8,9,8,9,6,7,6,7,6,7,5,7,5,7,5,7,7,5,7,5,7,7,7,7,7,7,"Wed, 26 Feb 2025 00:00:00 GMT",49,3cd77faf-3ae0-43e2-9472-f62b662ba83b,14.0,0.4802591537184887,100.0,70.71716417910447,208.22091411633258,147.24792569087901,28815.641035397068
138,39,9,40,9,41,9,41,9,41,9,41,9,40,9,40,9,40,9,40,9,38,9,35,11,33,14,33,14,"Wed, 26 Feb 2025 00:00:00 GMT",432,4401a3b7-df83-4671-8f69-359614eb2c19,47.0,0.33779142146005997,258.0,166.42132462686567,763.7849383055028,492.67481070872344,28719.021317908682
374,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,3,10,3,10,"Wed, 26 Feb 2025 00:00:00 GMT",276,5b78bc2f-e098-4d0e-b3c8-53e8241089db,13.0,0.3791509201459341,96.0,51.53507462686568,253.1973282909346,135.92232509162835,28645.379365991223
546,13,12,16,14,16,12,17,11,17,11,17,11,18,8,20,12,20,12,20,12,19,12,19,12,20,13,21,15,"Wed, 26 Feb 2025 00:00:00 GMT",451,5d14ab3c-2b81-4d13-8207-a35d5e7210b5,36.0,0.2067643260909794,55.0,76.6667910447761,266.0033335528063,370.7931271037615,28218.655030727663
110,5,4,4,4,4,4,3,4,3,4,3,4,4,9,4,10,4,10,3,15,3,15,3,14,3,14,4,12,"Wed, 26 Feb 2025 00:00:00 GMT",71,7fbe3230-0559-45c5-9c11-b57197aed717,16.0,0.24093725460982704,156.0,39.62296641791045,647.4714765577696,164.45346520643204,28159.83993260823
438,7,8,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,8,8,8,8,8,8,"Wed, 26 Feb 2025 00:00:00 GMT",284,7d1bd3e7-78cb-4129-b62f-f422f8d0ac80,16.0,0.29151756671857043,60.0,47.81679104477611,205.81950060636893,164.02713422391523,28086.83805204028
205,7,8,7,8,7,8,7,8,7,8,7,8,6,8,6,8,6,8,6,8,9,9,9,9,9,9,10,9,"Wed, 26 Feb 2025 00:00:00 GMT",537,7984b2ab-bfad-41b0-adae-f6477a7a0e2f,19.0,0.1375996618534662,48.0,26.602798507462687,348.83806655801646,193.33476659116187,27878.120633188446
237,6,3,6,3,6,3,7,4,7,4,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,"Wed, 26 Feb 2025 00:00:00 GMT",148,17e1b8b8-1920-4cab-ab69-605367fae8d3,13.0,0.44903277468026637,110.0,59.392164179104476,244.97098252644355,132.26688012115517,27875.001079274007
257,13,8,16,9,16,9,11,8,11,8,11,8,10,8,11,8,12,10,12,10,12,10,12,10,12,10,12,10,"Wed, 26 Feb 2025 00:00:00 GMT",10,16bb6ac3-538e-48c6-b082-753edfdbc1e3,22.0,0.43472363834383737,114.0,97.1641791044776,262.2355674844477,223.5079267247649,27834.112917156275
357,8,8,7,7,8,7,7,6,7,6,7,6,7,8,7,9,8,9,8,9,8,9,8,9,8,9,8,9,"Wed, 26 Feb 2025 00:00:00 GMT",18,3ef05490-c2bc-4354-8719-ee60b01ab598,17.0,1.6959730733763823,172.0,292.88768656716417,101.41670448669237,172.69595323472714,27831.741053138943
47,5,6,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,5,3,7,3,7,3,7,3,7,"Wed, 26 Feb 2025 00:00:00 GMT",87,c2f1a1a2-756d-481f-8d03-7bc5659ff435,10.0,0.22665046116531767,73.0,22.97873134328358,322.0818507258813,101.38400436133688,27776.4395510512
